idx,saq1_1,saq1_2,saq2_1,saq2_2,saq3_1,saq3_2,saq4_1,saq4_2,saq5_1,saq5_2,saq6_1,saq6_2,saq7_1,saq7_2,saq8_1,saq8_2,saq9_1,saq9_2,saq10_1,saq10_2,saq11_1,saq11_2,saq12_1,saq12_2,saq13_1,saq13_2,saq14_1,saq14_2,saq15_1,saq15_2,saq16_1,saq16_2,saq17_1,saq17_2,saq18_1,saq18_2,saq19_1,saq19_2,saq20_1,saq20_2,saq21_1,saq21_2,saq22_1,saq22_2,saq23_1,saq23_2,saq24_1,saq24_2,saq25_1,saq25_2,saq26_1,saq26_2,saq27_1,saq27_2,saq28_1,saq28_2,saq29_1,saq29_2,saq30_1,saq30_2,saq31_1,saq31_2,saq32_1,saq32_2,saq33_1,saq33_2,saq34_1,saq34_2,saq35_1,saq35_2,saq36_1,saq36_2,saq37_1,saq37_2,saq38_1,saq38_2,saq39_1,saq39_2,saq40_1,saq40_2,saq41_1,saq41_2,saq42_1,saq42_2,saq43_1,saq43_2,saq44_1,saq44_2,vq1,vq2,vq3,vq4,vq5,vq6,vq7,vq8,vq9,vq10,vq11,vq12,vq13,bq1,bq2,bq3,bq4,bq4_1a,bq4_1b,bq4_1c,bq5,bq5_1,bq5_2,bq6,bq7,bq8_1,bq8_2,bq8_3,bq9,bq10,bq11,bq12_1,bq12_2,bq12_3,bq12_4,bq12_5,bq13_1,bq13_2,bq13_3,bq14_1,bq14_2,bq14_3,bq14_4,bq14_5,bq14_6,bq14_7,bq15,bq16_1,bq16_2,bq16_3,bq16_4,bq16_5,bq16_6,bq16_7,bq16_8,bq16_9,bq16_10,bq17,bq18_1,bq18_2,bq18_3,bq18_4,bq18_5,bq18_6,bq18_7,bq18_8,bq18_9,bq18_10,bq19,bq20,bq20_1,bq21_1,bq21_2,bq21_3,bq21_4,bq22_1,bq22_2,bq22_3,bq22_4,bq22_5,bq22_6,bq23_1,bq23_2,bq23_3,bq24,bq25,bq26,bq26_1,bq27_1,bq27_2,bq28,bq29,bq30_1,bq30_2,bq30_3,knowcode
27140,1, ,2,2,1, ,2,2,1, ,1, ,1, ,1, ,2,2,1, ,1, ,1, ,1, ,1, ,1, ,1, ,1, ,1, ,1, ,2,2,1, ,1, ,1, ,1, ,1, ,1, ,1, ,1, ,1, ,1, ,1, ,1, ,1, ,1, ,1, ,1, ,1, ,1, ,1, ,1, ,1, ,1, ,2,2,2,2,3,3,4,2,2,3,1,4,3,1,1,2,2,18,4,1,2, , , ,1,4,워킹,4,2,4,5,5,4,5,3,3,2,2,5,3,2,4,5,3,3,3,4,5,2,5,3,5,5,5,5,5,4,5,4,4,5,4,2,2,2,2,2,2,2,2,2, ,1,4,예술활동에 대한 영역이 점점 넓어지고 있음,2,2,2,2,8,8,9,3,9,9,8,9,9,2,26,3,모델학,1,4,2,14,2400,1100, ,416202
27141,3,3,2,4,2,3,2,3,3,3,2,3,3,3,2,4,2,3,2,4,2,3,2,3,3,3,2,4,3,4,4,4,3,3,3,4,4,4,3,4,2,4,4,4,3,3,3,4,4,4,3,5,3,4,4,4,4,4,3,4,4,4,3,3,4,4,4,5,3,3,4,4,4,5,3,5,4,5,4,4,4,5,3,4,4,4,3,5,3,4,4,3,3,4,4,3,4,3,3,4,4,18,1,2,1,스포츠, , ,1,4,운동,3,2,4,3,3,3,4,3,4,5,4,4,3,4,4,3,3,4,5,4,4,3,3,3,4,3,2,3,4,4,3,4,4,4,3,2,2,2,2,2,2,2,2,2, ,3,3,건강에 관심도,2,2,2,2,8,7,7,6,6,7,7,6,7,1,35,2,상고,1,3,2,30,3000,2500, ,420402
27142,3,4,3,4,3,3,3,4,2,2,2,2,3,4,2,3,2,3,2,2,2,2,2,3,3,3,3,3,4,5,3,4,4,4,3,3,3,3,5,6,4,5,3,4,3,3,3,4,3,3,3,3,3,3,3,3,2,2,2,2,3,3,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,3,2,2,2,2,2,3,4,4,4,5,3,3,3,4,3,4,3,4,3,4,3,3,4,17,1,2,1,간호조무사 자격증, , ,1,4,보수교육,7,2,4,4,4,4,3,4,4,3,4,4,4,3,4,4,4,3,4,5,4,4,4,4,4,5,4,4,5,4,4,5,4,4,4,2,2,2,2,2,2,2,2,2, ,1,3,병원은 항상 꾸준하니까,3,3,3,2,9,8,8,3,2,2,7,3,6,2,26,2,인문계,1,1,1,48,2400,2000, ,307501
27143,1, ,1, ,1, ,3,4,3,4,3,4,1, ,1, ,1, ,1, ,2,2,2,2,2,2,1, ,1, ,2,2,2,2,2,2,3,4,3,4,3,4,2,2,2,2,1, ,3,4,3,4,3,4,4,5,4,5,4,5,2,2,1, ,1, ,3,4,4,5,3,4,1, ,3,4,1, ,1, ,1, ,1, ,1, ,1, ,3,4,4,3,3,4,3,3,2,3,4,3,3,14,1,2,1,공조냉동, , ,2, , ,4,3,3,4,3,4,3,3,4,3,4,3,3,2,3,2,2,3,3,3,4,2,3,3,2,3,3,4,3,4,3,2,3,3,4,2,2,2,2,2,2,2,2,2, ,1,4,에어컨 수요 증가,3,3,3,2,6,7,4,5,3,3,8,7,7,1,36,2,이과,1,1,1,40,3600,2800, ,811401
27144,4,5,4,5,3,3,4,5,3,3,2,5,3,4,3,4,4,4,2,3,2,3,3,4,3,4,4,4,3,4,3,4,4,5,3,4,3,4,4,4,3,4,4,5,4,5,2,4,3,3,2,3,2,2,2,2,2,2,2,2,3,4,1, ,1, ,1, ,3,3,3,3,2,3,2,3,2,3,3,4,3,4,3,4,3,4,4,5,4,4,2,2,3,3,2,3,2,3,3,2,2,16,5,2,1,보육교사자격증,정교사2급, ,1,4,아이들을 사랑하는 방식,3,4,3,2,3,2,1,1,1,2,1,3,2,3,2,3,3,3,2,3,4,3,3,4,4,4,3,4,3,4,4,3,5,4,4,2,2,2,2,2,2,2,2,2, ,1,3,아이들은 계속해서 있기 때문에 보육시설은 늘 필요하다,1,1,2,1,3,3,5,6,3,8,4,5,8,2,29,3,유아교육,1,1,1,40,2700,2200, ,213001
27145,3,4,3,4,3,4,3,4,3,5,3,4,3,4,3,4,3,4,4,5,3,4,3,4,3,4,3,4,3,4,4,5,3,4,3,4,4,5,3,4,3,4,3,4,3,4,3,4,4,5,4,5,3,4,3,4,3,4,1, ,3,3,2,3,2,3,2,3,1, ,3,4,3,4,1, ,1, ,1, ,1, ,1, ,1, ,1, ,3,3,3,3,3,3,3,3,3,3,3,3,3,15,2,5,2, , , ,1,5,도시계획서 작성요령,5,4,2,3,3,5,4,4,3,3,3,3,3,2,4,4,3,4,3,3,3,3,3,4,3,3,4,4,3,3,3,4,3,4,4,2,2,2,2,2,2,2,2,2, ,2,3,경기가 회복되지 않아서,3,3,3,2,4,7,6,6,5,4,3,7,7,1,38,3,교통시스템,1,1,1,45,4000,2000, ,140503
27146,3,4,3,4,2,2,3,5,2,3,1, ,1, ,2,2,3,4,2,2,1, ,2,3,3,3,1, ,3,4,2,3,3,4,1, ,3,5,2,2,3,5,3,4,2,4,1, ,1, ,1, ,2,2,1, ,2,3,3,3,1, ,5,5,3,4,3,4,3,5,3,5,1, ,4,4,3,3,3,4,3,4,1, ,3,4,2,3,5,3,2,4,5,2,2,2,3,1,2,4,4,3,1,4,2, , , ,2, , ,1,2,2,2,2,4,2,2,3,3,2,4,3,2,4,3,5,3,2,4,1,5,1,4,5,3,2,1,1,2,5,2,2,4,5,2,2,2,2,2,2,2,2,2, ,2,3,자동차부품 수요는 큰 변화 없을듯,3,3,3,2,8,6,4,2,3,4,4,3,4,1,47,2,기계,1,1,1,44,4500,2300, ,817201
27147,3,3,3,4,3,3,3,4,3,3,1, ,1, ,3,3,4,3,1, ,2,3,3,4,1, ,1, ,4,5,3,3,4,4,1, ,1, ,5,6,4,2,1, ,5,3,1, ,4,4,1, ,1, ,1, ,1, ,1, ,2,3,1, ,1, ,1, ,1, ,1, ,1, ,1, ,1, ,1, ,1, ,1, ,2,3,3,4,3,3,2,3,2,4,2,2,4,2,1,3,4,7,4,1,2, , , ,2, , ,7,2,3,2,2,3,3,4,3,9,9,9,3,4,2,1,4,3,3,3,2,4,4,4,4,3,2,2,2,2,4,4,3,4,4,2,2,2,2,2,2,2,2,2, ,1,3,전반적인 경기 불황으로 큰 변화가 없어서,3,3,3,2,8,6,6,4,2,1,7,3,3,2,29,2,인문계,2,6,1,45, , ,2500,615401
27148,3,5,4,5,2,2,5,6,4,6,4,6,1, ,3,5,3,4,1, ,2,2,3,4,3,4,3,4,1, ,1, ,2,3,4,5,2,3,4,6,4,5,5,6,4,5,5,6,1, ,1, ,3,4,1, ,1, ,1, ,4,6,1, ,1, ,1, ,1, ,1, ,3,4,1, ,1, ,2,3,1, ,1, ,3,4,3,4,4,3,4,4,5,4,3,4,3,4,4,3,3,11,1,2,1,증권투자상담사, , ,2, , ,4,5,3,4,4,4,4,3,3,3,4,5,4,1,4,3,3,2,3,4,3,5,5,3,5,4,5,3,4,5,5,4,4,4,4,2,2,2,2,2,2,2,2,2, ,2,3,인터넷이나 모바일 핀테크 상품 증가로 일자리에 크게 변동 없을 것 같다,3,2,3,2,7,8,3,3,5,3,2,7,8,1,36,4,수학,1,1,1,40,8000,3000, ,32201
27149,4,5,5,6,3,4,5,7,4,4,2,4,4,5,5,6,4,5,1, ,4,5,5,7,5,7,4,5,3,4,4,5,4,6,3,5,5,6,1, ,4,5,4,5,3,4,1, ,5,7,5,7,5,7,5,7,4,6,5,6,5,7,1, ,5,7,5,7,4,6,5,7,3,4,4,5,5,7,1, ,1, ,1, ,4,5,4,5,3,4,2,3,4,3,4,4,3,3,4,4,5,18,1,1,1,사서, , ,2, , ,6,5,4,3,4,4,4,4,3,4,4,5,4,4,3,3,4,4,4,4,4,3,3,4,4,5,4,3,4,5,4,5,3,4,3,2,2,2,2,2,2,2,2,2, ,1,3,기계로 할 수 없어서,2,2,2,1,8,1,2,9,1,8,9,8,2,2,52,4,문헌정보학,1,1,1,42,7000,5500, ,13601
27150,4,6,4,6,4,6,4,6,4,6,4,6,4,5,5,6,4,6,4,5,4,6,4,6,4,6,4,6,4,6,4,6,4,6,4,6,4,6,5,6,4,6,4,6,4,6,4,6,4,6,4,6,4,6,3,4,3,4,3,4,4,6,4,6,2,2,1, ,1, ,1, ,4,6,2,2,2,2,2,2,1, ,2,2,3,4,2,2,5,4,5,4,4,5,4,4,3,3,4,4,4,18,1,3,2, , , ,2, , ,3,5,3,2,3,3,3,4,4,3,3,4,4,3,3,3,4,3,3,4,3,3,3,3,3,3,4,3,4,3,4,3,3,4,4,2,2,2,2,2,2,2,2,2, ,2,2,경기 침체로 일자리 감소 할 것 같다,2,2,2,1,5,5,5,6,6,6,6,6,6,1,45,4,영문학,1,1,1,50,6500,3000, ,521101
27151,1, ,2,3,1, ,3,4,1, ,1, ,1, ,2,2,3,3,2,2,1, ,1, ,1, ,1, ,3,3,3,3,2,3,1, ,1, ,2,3,1, ,2,2,1, ,1, ,1, ,2,2,1, ,1, ,1, ,1, ,1, ,1, ,1, ,1, ,1, ,1, ,1, ,1, ,1, ,1, ,1, ,1, ,3,3,2,4,4,4,4,2,2,4,2,1,2,1,1,2,1,18,4,1,2, , , ,1,3,"워킹,연기",3,2,4,3,4,3,4,4,3,4,3,4,4,3,5,5,2,3,3,3,3,2,5,3,3,4,4,3,3,3,3,3,4,5,4,2,2,2,2,2,2,2,2,2, ,1,1,일하는 환경이나 조건이 열악한편,2,2,2,2,7,9,8,4,8,8,7,7,6,2,25,4,현대무용,1,4,2,10,1800,1100, ,416202
27152,1, ,1, ,1, ,1, ,1, ,3,4,1, ,3,4,2,1,3,3,1, ,3,3,4,4,1, ,1, ,1, ,2,3,1, ,3,2,3,3,2,4,3,3,4,4,3,3,2,3,3,3,4,5,4,4,3,4,3,4,2,2,3,3,2,4,4,4,5,6,3,3,3,2,2,3,3,3,4,6,4,5,3,3,3,3,3,4,2,4,4,2,3,2,4,2,2,2,4,2,2,6,1,2,2, , , ,2, , ,7,4,3,3,3,4,3,3,4,3,3,3,3,2,2,4,3,3,2,2,2,2,4,3,3,3,3,2,3,3,4,4,3,2,3,2,2,2,2,2,2,2,2,2, ,2,3,작업과정 변함없다,3,3,3,2,4,4,4,4,4,6,5,5,5,1,42,4,전기,1,1,1,40,3800,3500, ,811401
27153,1, ,2,3,1, ,3,3,2,2,1, ,1, ,3,3,2,2,1, ,1, ,1, ,2,2,1, ,3,3,2,3,1, ,1, ,1, ,5,3,1, ,1, ,2,3,1, ,1, ,1, ,1, ,1, ,2,3,1, ,1, ,1, ,2,3,1, ,1, ,1, ,1, ,4,3,3,3,3,3,2,2,2,2,3,3,2,2,1,3,2,1,1,1,1,2,3,1,1,1,2,7,4,2,2, , , ,2, , ,7,1,1,1,1,3,2,3,3,3,3,4,3,4,1,2,2,2,3,3,3,4,4,2,4,4,2,2,2,3,3,2,2,3,3,2,2,2,2,2,2,2,2,2, ,4,1,전기차화 수소차 생산으로 인해 줄어들것 같다,3,3,3,2,8,6,7,7,7,6,7,6,7,1,34,2,공고,1,4,1,40,2400,1900, ,615701
27154,4,5,3,4,2,3,4,5,1, ,3,4,1, ,3,4,3,4,1, ,3,4,3,4,4,5,3,4,4,5,4,5,4,5,3,4,3,4,4,5,4,5,3,4,4,5,1, ,1, ,1, ,1, ,1, ,1, ,1, ,2,2,1, ,1, ,1, ,1, ,1, ,2,2,1, ,2,2,1, ,1, ,1, ,1, ,3,3,3,4,4,3,4,2,4,2,2,3,2,4,3,19,1,2,1,직업상담사, , ,1,3,자원봉사활동,1,5,3,4,4,4,3,3,4,3,3,4,4,3,4,3,3,4,3,3,2,3,3,4,3,4,4,3,3,3,4,3,2,3,4,2,2,2,2,2,2,2,2,2, ,1,4,심각한 취업난,2,2,2,2,3,3,3,2,2,2,3,3,3,2,30,4,사회복지학,1,1,1,40,3000,2300, ,29904
27155,3,3,3,3,2,2,3,3,3,2,2,2,2,2,2,2,3,3,2,2,1, ,3,3,2,3,2,3,3,3,3,3,3,4,3,4,3,3,4,5,4,4,4,4,3,3,2,3,2,2,3,3,2,2,3,3,3,3,2,2,2,2,3,3,2,3,3,3,4,4,4,4,3,3,4,3,3,3,4,4,5,5,3,4,3,3,3,3,4,4,4,4,3,2,4,2,3,2,3,4,4,1,4,1,2, , , ,2, , ,6,1,4,4,3,4,4,4,3,9,9,9,3,4,4,4,4,4,4,4,1,3,3,2,4,3,4,3,2,4,4,4,3,4,4,2,2,2,2,2,2,2,2,2, ,1,2,인구 감소로 소비가 줄어들 것이다,3,3,2,2,2,3,4,3,3,6,6,4,6,1,72,2,이과,2,6,1,50, , ,2000,901201
