idx,cq1,cq2,cq3,cq4,cq5,cq6,cq7,cq8,cq9,cq10,cq11,cq12,cq13,cq14,cq15,cq16,cq17,cq18,cq19,cq20,cq21,cq22,cq23,cq24,cq25,cq26,cq27,cq28,cq29,cq30,cq31,cq32,cq33,cq34,cq35,cq36,cq37,cq38,cq39,cq40,cq41,cq42,cq43,cq44,cq45,cq46,cq47,cq48,cq49,cq50_1,cq50_2,cq50_3,cq50_4,cq50_5,cq50_6,cq50_7,cq50_8,iq1,iq2,iq3,iq4,iq5,iq6,bq1,bq2,bq3,bq4,bq4_1a,bq4_1b,bq4_1c,bq5,bq5_1,bq5_2,bq6,bq7,bq8_1,bq8_2,bq8_3,bq9,bq10,bq11,bq12_1,bq12_2,bq12_3,bq12_4,bq12_5,bq13,bq14,bq15,bq16,bq17,bq18,bq19,bq20,bq21,bq221,bq222,bq223,bq231,bq232,bq233,bq234,bq235,bq241,bq242,bq243,bq244,bq245,bq25,bq25_1,bq26_1,bq26_1a,bq26_2,bq26_2a,bq26_3,bq26_3a,bq26_4,bq26_4a,bq27,bq28,bq28_1,bq29,bq30,bq31,bq32,bq33,bq34,bq35,bq36,bq37,bq37_1,bq38,bq38_1,bq38_2,bq39,bq40,bq41_1,bq41_2,bq41_3,knowcode
9496,3,1,4,5,1,3,5,5,5,3,3,4,4,4,4,5,3,1,4,1,4,1,1,2,2,1,1,2,2,2,4,1,1,5,5,3,3,2,2,1,5,4,2,2,1,4,1,1,3,1,1,1,1,1,1,1,2,2,1,1,1,4,4,13,1,2,1,측량 및 지형정보 산업기사,측량 및 지형정보 기사,측량 기능사,1,2,GPS 측량 기기의 사용법 및 데이터 활용_토탈스테이션 사용법_CAD를 이용한 현황도 작성,7,4,3,1,1,3,4,2,3,3,2,3,2,1,2,1,2,1,1,1,5,100,1,0,0,1,0,0,0,0,1,0,0,0,0,1,2,1,2,1,2,1,2,1,2,2,4,현재 북한과의 관계가 좋아진다면 앞으로 측량을 하기 위한 지형들이 많아지기 때문이다,없다,"GPS측량기기, 토탈스테이션",건설기술자,측량에 관련된 모든 분야에 가능하다,새로운 직업은 모르겠다,2,1,32,4,토목,1,1,0,1,60,2800,2400,0,140601
9497,4,1,3,1,1,5,1,4,2,1,3,2,1,5,1,1,1,1,1,1,1,1,1,1,1,1,4,5,3,3,1,2,1,5,1,3,4,3,3,1,4,4,5,2,1,1,1,1,5,1,1,1,1,1,1,1,1,3,2,4,3,3,1,7,4,1,1,프로리스트 자격증,0,0,2,0,0,3,4,4,4,4,4,4,4,3,0,0,0,3,2,2,3,1,2,3,3,3,0,0,2,0,0,0,0,0,5,0,0,0,0,5,3,0,2,0,2,0,2,0,2,0,2,3,큰 변화 없이 지금처럼 비슷 할 것이다.,0,"원예가위, 롱노즈. 철사",경리 사무원,0,0,2,2,43,3,컴퓨터 응용학,2,0,6,0,54,0,0,3000,884102
9498,4,3,4,2,4,4,4,3,3,3,3,3,3,5,1,1,3,4,5,5,4,1,1,1,1,4,4,4,3,2,2,5,2,2,5,2,2,2,3,2,4,3,2,2,3,1,1,1,4,1,1,1,1,1,1,1,1,2,2,2,1,3,2,3,1,4,2,0,0,0,1,2,제지관련 교육,6,2,3,1,1,4,4,2,3,3,3,4,3,1,1,1,1,1,1,1,3,100,1,0,0,1,0,0,0,0,1,0,0,0,0,1,2,1,2,1,2,1,2,1,1,1,3,생산직,없음,기계장치,없음,없음,없음,4,1,52,2,인문계,1,1,0,1,56,3200,2400,0,882201
9499,5,1,5,4,2,3,1,1,2,1,1,2,2,4,3,1,3,3,2,1,3,1,1,1,1,2,2,1,3,3,1,2,2,4,4,2,2,1,2,1,2,3,3,1,1,3,1,1,3,1,1,1,1,1,1,1,1,3,3,1,1,3,4,6,1,3,1,건설재료시험 기능사,0,0,2,0,0,6,5,4,4,3,5,5,4,3,4,4,4,4,2,1,1,2,2,2,1,3,80,1,0,0,1,0,0,0,0,0,2,0,0,0,1,2,1,1,1,1,1,1,1,1,2,3,건설경기가 크게 변동이 없을것 같아서,0,"계측기,시험장비,계획서",0,건설재료시험관련 연구소,0,2,1,35,4,토목환경공학,1,1,0,1,46,4000,3200,0,140701
9500,4,3,4,4,3,4,4,3,4,4,4,2,3,4,3,3,3,1,2,2,1,1,1,1,1,1,1,1,4,2,2,4,1,2,1,3,4,3,4,3,4,4,4,2,3,3,1,1,3,2,3,3,3,1,1,1,1,3,3,3,3,3,3,10,1,2,2,0,0,0,1,5,"공동작업훈련, 사내엔진 혹은 라이브러리",5,5,5,5,5,5,5,5,5,0,5,5,5,3,2,4,1,3,3,3,3,90,1,0,0,1,0,0,0,0,1,0,0,0,0,3,0,1,2,1,2,1,2,1,1,1,3,게임산업은 아직까지 비젼이 있다고 판단,없다,CAD,게임개발자,"HTML,  UNTY",없다,3,1,27,4,전자게임,1,1,0,0,50,5000,4000,0,133204
9501,2,1,1,1,1,2,1,1,2,3,1,3,2,1,5,5,4,1,5,1,1,1,1,1,1,1,4,2,1,3,3,5,2,5,5,4,3,1,5,2,4,3,5,1,4,1,1,1,4,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,4,1,2,0,0,0,1,2,"물때,그물 놓은 방식",2,1,3,3,3,4,4,4,4,0,0,0,4,3,2,4,1,3,3,3,4,0,0,2,0,0,0,0,0,5,0,0,0,0,5,1,2,2,0,2,0,2,0,2,0,2,3,어획량은 줄어도 특별이 변화없을 것이다,강막,"배,그물,프로타","양식업,미역",0,0,1,1,72,1,0,2,0,6,0,35,0,0,4000,904201
9502,4,1,5,3,2,3,1,1,2,1,1,2,2,4,2,1,3,3,2,1,3,2,1,1,2,2,1,1,2,4,2,3,2,3,4,2,1,1,2,1,3,4,3,2,1,3,1,1,3,1,1,1,1,1,1,1,1,3,4,1,1,2,5,6,1,3,1,건설재료시험 기능사,0,0,1,5,견본자재 검사하고 결과분석력 습득,5,4,4,3,3,4,4,3,3,3,3,4,3,2,1,1,2,1,1,1,4,100,1,0,0,1,0,0,0,0,1,0,0,0,0,1,2,1,2,1,2,1,2,1,1,2,3,변화가 없을것 같아서,0,"계측기,시험장비,일지",0,0,0,1,1,34,4,토목공학,1,1,0,1,50,4200,3000,0,140701
9503,5,3,4,4,1,4,4,4,3,2,3,1,1,5,1,2,4,1,1,1,1,1,1,1,1,1,1,1,3,2,3,3,3,3,1,3,4,3,3,4,3,3,3,1,2,4,1,2,3,1,1,1,1,1,1,1,1,4,4,2,5,4,4,7,1,2,2,0,0,0,2,0,0,7,2,4,3,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,2,4,95,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,2,1,2,1,2,1,1,1,2,경기약화로 인하여,0,컴퓨터,판매업,0,0,4,2,43,2,문과,1,1,0,1,40,2400,1700,0,615301
9504,4,4,4,4,4,3,3,2,2,2,1,1,3,4,3,3,3,1,2,1,1,1,1,1,1,1,1,1,4,2,2,1,1,2,3,3,4,3,2,4,2,2,2,2,1,5,1,1,4,1,2,3,1,1,1,1,1,4,2,2,3,4,3,11,1,6,1,선물거래 중개사,0,0,2,0,0,3,5,3,3,3,4,4,4,4,4,3,4,4,1,1,1,2,1,1,1,4,100,1,0,0,1,0,0,0,0,1,0,0,0,0,1,2,1,2,1,2,1,2,1,1,2,4,선물거래 고객 증가,0,PC,0,0,0,4,1,50,4,경영학,1,1,0,1,52,8000,2800,0,31402
9505,5,1,3,1,1,5,3,5,2,3,2,2,1,5,1,1,5,1,1,1,1,1,1,4,1,1,1,1,2,5,1,2,3,5,5,2,2,2,1,2,3,4,1,2,1,1,1,1,4,1,2,1,1,1,1,1,1,4,2,1,5,2,2,17,4,2,1,치과위생사,0,0,2,0,0,4,4,4,3,3,2,3,3,3,1,3,4,3,1,1,1,2,1,1,1,3,100,1,0,0,1,0,0,0,0,1,0,0,0,0,1,2,1,2,1,2,1,2,3,0,2,3,취업의 한계가 있어서 큰 변화는 없을듯,0,셕션.고객진료차트,0,0,0,1,2,29,3,치위생학,1,1,0,1,44,2900,2200,0,306401
9506,4,3,4,4,4,5,4,4,4,5,5,3,2,4,1,1,4,3,2,2,2,4,2,2,1,1,3,1,4,2,2,3,2,2,4,5,4,4,4,3,5,4,3,2,2,2,1,1,3,2,2,2,1,2,1,1,1,4,4,2,5,3,3,17,5,6,1,의사면허증,외과전문의,0,1,6,수술,6,6,5,5,5,3,4,2,4,4,4,4,4,2,1,1,2,1,1,1,4,100,1,0,0,1,0,0,0,0,1,0,0,0,0,1,2,1,2,1,2,1,2,1,1,2,2,로봇 발달과 인구 감소,선생님. 교수님,CT. MRI. 수술도구. 컴퓨터. 차트. 혈관조영검사,없음,교수,없음,2,1,49,6,신경외,1,1,0,1,40,18000,7500,0,301102
9507,5,1,5,4,1,4,5,1,4,2,3,1,1,5,3,1,3,1,1,5,1,1,1,1,1,1,1,1,4,2,2,2,2,5,1,5,4,4,1,3,4,3,2,1,1,1,1,1,4,1,1,1,1,1,1,1,1,3,4,4,3,4,3,10,3,4,2,0,0,0,2,0,0,3,5,3,3,3,3,4,3,3,3,5,4,4,1,1,1,2,1,1,1,3,100,1,0,0,1,0,0,0,0,1,0,0,0,0,1,2,1,2,1,2,1,2,1,1,2,3,변화없을것 같다,녹음기사,"녹음기, 편집기",0,0,0,1,1,43,4,방송영상,1,1,0,1,40,4600,2400,0,416501
9508,4,3,3,5,5,2,3,3,3,3,3,3,3,5,2,3,3,1,1,1,1,1,1,1,1,1,1,1,5,1,1,5,1,5,1,2,3,1,2,2,3,3,3,2,3,3,1,1,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,18,3,1,2,0,0,0,2,0,0,5,5,3,3,3,3,3,3,3,3,3,3,3,2,1,1,2,1,1,1,3,100,0,0,3,1,0,0,0,0,1,0,0,0,0,1,2,3,0,3,0,3,0,3,0,1,2,국내 제조업 축소/4차산업혁명으로 인한 인공지능 디자인,산업 디자이너,"라이노, 어도비 포토샵, 어도비 일러스트",0,시각디자이너,0,3,1,28,4,산업디자인,1,1,0,1,45,2500,2200,0,415101
9509,5,1,4,1,1,4,4,1,4,1,1,1,2,1,5,4,4,1,4,1,1,1,1,1,1,1,1,1,1,1,4,4,3,3,5,4,4,4,4,1,4,4,4,5,5,5,2,1,4,1,1,1,1,1,1,1,1,3,1,1,3,1,1,1,4,1,2,0,0,0,2,0,0,1,1,4,3,3,4,4,2,5,5,5,0,5,3,2,4,1,3,3,1,5,0,0,0,3,0,0,0,0,5,0,0,0,0,5,2,0,2,0,2,0,2,0,2,0,2,2,바다오염,0,"망태,광주리,그물",농사,0,0,3,2,60,1,0,2,0,6,0,40,0,0,2000,904201
9510,4,3,5,5,4,5,4,3,2,2,3,2,3,4,4,3,4,2,2,1,1,1,1,1,1,2,2,2,4,2,1,2,1,2,2,4,3,2,1,2,2,2,3,2,2,1,1,1,2,1,1,1,1,1,1,1,1,5,4,3,3,2,3,4,1,3,1,전기기사,0,0,2,0,0,2,3,3,4,3,3,3,3,3,3,4,3,3,1,1,1,2,1,1,1,1,70,1,0,0,1,0,0,0,0,1,0,0,0,0,1,2,1,2,1,2,1,2,1,1,2,2,전력공급이 거의 안정화되어서 수요 변동없으니,0,전력시스템 컴퓨터,0,0,0,2,1,45,4,전자,1,1,0,1,45,4500,2800,0,153104
9511,5,1,5,5,4,5,4,4,3,3,2,4,2,5,1,1,4,1,1,1,1,1,4,5,1,1,2,4,5,2,1,3,1,5,4,4,4,4,4,3,4,3,4,3,1,3,1,1,3,1,1,1,1,2,1,1,1,4,4,3,5,4,2,17,1,5,1,의사면허증,전문의취득,0,2,0,0,6,5,4,5,4,4,4,4,4,3,3,4,4,2,1,1,2,1,1,1,2,100,1,0,0,1,0,0,0,0,1,0,0,0,0,1,2,1,2,1,2,1,2,1,1,2,4,고령화로 의료서비스가 계속 늘어나고 있어서,0,"고객의료 진료기록지,청진기",0,0,0,2,2,39,5,의학과,1,1,0,1,42,10000,7500,0,301102
9512,2,1,3,3,4,3,1,4,1,3,2,1,2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,1,2,5,2,1,5,4,3,3,3,3,2,5,2,1,4,1,1,4,1,2,1,1,1,1,2,1,3,5,2,3,3,4,7,4,1,1,약사면허증,0,0,2,0,0,7,7,4,4,4,4,4,4,4,0,0,4,4,3,1,1,1,3,3,3,3,0,0,2,0,0,0,3,0,0,0,0,0,4,0,3,0,2,0,2,0,2,0,2,0,2,4,인구의 고령화로 건강관련 분야에서 일자리 창출,0,처방전,0,0,0,3,1,57,4,약학,2,0,5,0,70,0,0,7400,303001
9513,4,3,3,4,1,2,3,1,3,3,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,5,2,2,2,1,1,1,4,1,3,2,1,1,1,1,3,2,1,1,1,1,1,1,1,3,5,3,2,1,1,13,2,2,2,0,0,0,2,0,0,6,6,3,4,4,4,4,4,3,3,3,3,3,3,2,1,1,3,1,1,3,70,1,0,0,1,0,0,0,0,0,2,0,0,0,1,2,1,2,1,2,1,2,1,2,2,3,수요와 공급이 평형상태인것 같다,없음,"컴퓨터,매쓰매티카,라텍스",연구보조원,없음,없음,3,1,38,5,물리학,1,2,0,2,40,6000,3000,0,121101
9514,5,1,4,3,1,5,5,2,5,2,4,2,1,5,1,5,3,5,1,1,5,1,5,1,1,1,5,4,2,5,1,3,3,5,5,4,4,3,1,3,4,4,1,1,2,3,1,1,1,1,1,1,1,1,1,1,1,3,3,1,3,4,4,3,1,2,2,0,0,0,2,0,0,2,2,2,1,1,3,3,1,3,0,0,4,4,1,2,1,2,1,1,1,2,0,0,2,0,0,0,0,0,5,1,0,0,0,0,1,2,2,0,2,0,1,1,1,1,2,3,변화 없음,0,"절단기, 밴딩기, 드릴",0,0,0,1,1,59,2,기계,1,1,0,1,48,5000,2500,0,883201
9515,5,1,5,2,2,4,1,3,1,1,1,1,2,5,1,1,3,1,1,1,1,1,1,5,1,5,1,1,5,2,1,3,2,3,1,3,3,3,3,1,4,4,3,1,1,1,1,1,3,1,1,1,1,1,1,1,1,4,1,1,4,2,2,17,1,3,1,방사선사 자격증,0,0,2,0,0,1,5,4,4,4,4,4,4,3,3,4,4,4,2,1,1,1,1,1,1,2,90,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,2,1,2,1,2,1,2,2,4,전문직종이라서,0,방사선장비,0,0,0,2,1,35,4,방사선,1,1,0,1,48,3900,2600,0,306201
9516,5,4,5,4,4,4,4,2,4,4,4,4,5,5,1,3,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,3,1,2,1,4,4,4,2,1,5,1,3,4,1,3,1,1,1,1,1,1,1,1,1,1,1,3,1,1,3,1,4,15,2,6,2,0,0,0,1,2,직무교육,4,2,5,4,4,2,3,4,4,3,3,4,4,1,1,1,2,1,1,1,1,100,1,0,0,1,0,0,0,0,1,0,0,0,0,1,2,2,0,1,2,2,0,2,0,2,3,행정구역변화가 크게 들어나는게 없어서,0,"PC,필기구",공무원(5급),0,0,4,1,56,4,행정학,1,1,0,1,40,7600,4800,0,21001
9517,5,3,5,5,4,4,4,4,2,2,3,3,3,5,2,2,3,4,2,2,5,5,1,1,2,2,1,1,5,1,1,2,5,5,1,3,4,3,3,1,2,4,3,3,1,3,1,2,2,1,1,1,1,1,1,1,1,4,5,2,5,3,1,8,1,6,2,0,0,0,2,0,0,4,5,3,3,3,4,5,3,3,0,0,0,4,1,2,1,2,3,1,1,2,90,0,0,3,1,0,0,0,0,0,0,0,0,5,1,2,3,0,3,0,3,0,3,0,2,2,근무장소가 까다로워서 진입이 힘듦,계약담당자,운송시스템,0,0,0,1,2,28,4,중국학,1,1,0,1,45,3500,2800,0,28203
9518,5,5,5,5,5,4,4,4,4,2,2,2,2,4,3,1,3,3,3,1,1,1,1,1,1,2,2,2,2,4,2,3,3,3,4,3,4,3,3,2,3,3,3,1,2,5,1,1,4,1,1,1,1,1,1,1,1,3,3,2,2,2,3,6,1,3,1,토목기사1급,측지기사1급,0,2,0,0,2,4,3,3,3,4,4,3,3,3,4,4,4,3,1,1,1,1,1,2,3,100,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,2,1,2,1,2,1,1,2,2,건설발주 감소,감리사,PC,회사원,0,0,2,1,58,4,토목공학,1,1,0,1,45,6000,5000,0,140304
9519,4,3,4,4,4,4,4,4,4,5,5,2,2,4,1,1,4,3,2,4,4,4,3,4,1,4,4,4,4,2,2,3,2,2,4,5,4,4,4,4,4,4,4,2,3,3,1,1,3,2,2,2,1,2,1,1,1,5,5,4,4,5,4,17,5,6,1,의사면허증,외과전문의,0,1,6,수술,6,6,5,5,5,4,4,2,4,4,4,4,4,1,1,1,2,1,1,1,4,100,1,0,0,1,0,0,0,0,1,0,0,0,0,1,2,1,2,1,2,1,2,1,1,2,3,인구고령화,교수님. 선생님,수술도구. MRI. CT. 컴퓨터,없음,교수,없음,2,1,44,6,신경외과,1,1,0,1,40,12000,7500,0,301102
9520,5,1,1,1,5,2,1,1,3,3,3,1,1,5,1,5,1,5,5,1,4,1,5,1,4,5,5,5,1,4,3,1,3,5,5,5,1,1,3,3,3,1,3,1,3,5,1,1,4,1,1,1,1,3,1,1,1,5,1,1,1,1,1,3,1,3,2,0,0,0,2,0,0,5,2,1,1,1,4,2,1,5,3,2,5,4,1,1,1,2,1,1,1,5,60,1,0,0,1,0,0,0,0,1,0,0,0,0,1,2,1,2,1,2,1,2,1,1,2,2,자동화,없음,배합기,학생,없음,없음,2,1,23,2,산업플랜트,1,1,0,1,56,3800,3000,0,852201
9521,5,2,5,4,1,5,5,5,5,4,5,3,3,5,2,1,3,1,1,1,1,1,1,5,1,1,1,2,4,2,2,3,1,4,1,5,4,5,4,2,5,4,5,3,4,4,1,1,1,1,1,1,1,1,1,1,1,3,4,5,3,3,3,17,4,2,1,의사전문 자격증,의사면허증,0,1,4,실무교육,4,5,5,4,4,4,4,3,5,4,4,4,5,3,2,1,1,1,1,1,4,100,1,0,0,1,0,0,0,0,1,0,0,0,0,1,2,1,2,1,2,1,2,1,2,2,2,인구감소,0,주사기,0,0,0,3,2,28,5,의학,1,1,0,1,40,5000,3500,0,301103
9522,5,3,5,5,5,5,3,4,4,4,4,4,3,5,4,4,3,1,4,1,1,1,1,1,1,1,1,1,4,2,2,3,4,4,3,3,3,2,5,1,5,3,5,2,1,3,1,1,1,1,1,1,1,1,1,1,1,4,4,3,3,3,3,13,1,2,1,지적자격증,0,0,2,0,0,3,4,2,1,1,2,3,4,2,3,4,3,3,1,1,1,1,3,1,3,3,95,1,2,0,1,0,0,0,0,1,0,0,0,0,1,2,1,1,1,1,1,1,1,1,2,3,변화없다,직함,측량기계,0,0,0,2,1,33,4,측지정보,1,1,0,0,45,2400,2100,0,140601
9523,4,3,5,4,3,5,4,4,5,4,4,3,2,4,4,5,5,4,2,3,3,3,3,3,2,2,2,2,2,4,2,2,3,3,2,2,2,2,4,3,5,3,4,5,4,3,3,2,4,2,2,2,3,2,2,2,1,3,4,5,4,4,3,18,4,5,2,0,0,0,1,2,사람을 대하고  적응하고  친화될수있는  훈련필요~`,5,4,5,4,4,3,3,4,2,4,4,4,4,3,2,2,2,3,1,2,4,0,1,2,0,1,0,0,0,0,1,0,0,0,0,2,0,1,2,1,2,1,2,1,2,2,2,수요는  많아지는데  설 자리가 없다.,0,스피커.오디오,학생,없음,없음,2,1,47,5,공연예술학과,2,0,6,0,30,0,0,3000,416204
