idx,aq1_1,aq1_2,aq2_1,aq2_2,aq3_1,aq3_2,aq4_1,aq4_2,aq5_1,aq5_2,aq6_1,aq6_2,aq7_1,aq7_2,aq8_1,aq8_2,aq9_1,aq9_2,aq10_1,aq10_2,aq11_1,aq11_2,aq12_1,aq12_2,aq13_1,aq13_2,aq14_1,aq14_2,aq15_1,aq15_2,aq16_1,aq16_2,aq17_1,aq17_2,aq18_1,aq18_2,aq19_1,aq19_2,aq20_1,aq20_2,aq21_1,aq21_2,aq22_1,aq22_2,aq23_1,aq23_2,aq24_1,aq24_2,aq25_1,aq25_2,aq26_1,aq26_2,aq27_1,aq27_2,aq28_1,aq28_2,aq29_1,aq29_2,aq30_1,aq30_2,aq31_1,aq31_2,aq32_1,aq32_2,aq33_1,aq33_2,aq34_1,aq34_2,aq35_1,aq35_2,aq36_1,aq36_2,aq37_1,aq37_2,aq38_1,aq38_2,aq39_1,aq39_2,aq40_1,aq40_2,aq41_1,aq41_2,bq1,bq2,bq3,bq4,bq4_1a,bq4_1b,bq4_1c,bq5,bq5_1,bq5_2,bq6,bq7,bq8_1,bq8_2,bq8_3,bq9,bq10,bq11,bq12_1,bq12_2,bq12_3,bq12_4,bq12_5,bq13,bq14,bq15_1,bq15_2,bq15_3,bq16,bq17,bq18_1,bq18_2,bq18_3,bq18_4,bq18_5,bq18_6,bq18_7,bq19,bq19_1,bq20,bq21,bq22,bq23,bq24_1,bq24_2,bq24_3,bq24_4,bq24_5,bq24_6,bq24_7,bq24_8,bq25,bq26,bq27,bq28,bq29,bq30,bq31,bq32,bq33,bq34,bq35,bq36,bq37,bq38,bq38_1,bq39_1,bq39_2,bq40,bq41_1,bq41_2,bq41_3,knowcode
20,4,5,4,5,4,4,4,5,4,5,1,0,1,0,1,0,1,0,3,3,3,3,3,3,1,0,1,0,1,0,4,4,3,3,3,3,1,0,2,2,1,0,2,2,1,0,1,0,1,0,1,0,3,3,4,4,1,0,4,5,1,0,4,4,1,0,1,0,1,0,1,0,1,0,1,0,4,4,1,0,3,4,1,4,1,2,0,0,0,2,0,0,6,2,3,4,3,4,3,3,4,4,3,3,3,3,3,2,3,3,3,3,3,3,4,3,3,2,2,3,힘든일이고 스스로 하는 직업이기에,2,3,3,10,1,2,2,2,2,2,2,2,3,3,3,2,3,없다,젖병,농사,없다,없다,3,1,50,2,실업계,2,6,0,0,4800,0,902101
21,3,3,2,2,3,4,5,6,3,3,1,0,2,2,1,0,1,0,2,2,1,0,1,0,1,0,2,2,3,3,3,3,3,4,5,5,1,0,5,6,3,4,3,5,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,10,1,5,2,0,0,0,1,3,방송 장비 조작 훈련,7,5,4,3,3,4,3,3,4,3,4,4,4,3,3,4,3,3,4,4,4,3,3,2,3,3,3,4,"방송 채널도 늘고, 방송국도 늘고 있으므로",3,2,3,15,2,2,1,2,2,2,2,2,3,4,4,4,2,없다,카메라,없다,방송기술감독,없다,2,1,40,3,방송통신학,1,1,1,5700,0,3200,136002
22,5,7,5,7,5,7,5,7,5,7,5,7,5,7,5,7,5,7,5,7,5,7,5,7,5,7,5,7,5,7,4,5,5,7,4,5,5,6,4,4,2,3,3,2,3,2,5,5,5,5,5,6,5,6,5,7,5,6,5,7,5,6,4,5,5,5,5,4,4,4,4,5,5,5,4,5,4,5,4,5,3,3,10,2,4,2,0,0,0,1,4,"자료조사, 프리뷰, 아이템 찾기",2,5,4,4,2,4,5,2,2,1,4,4,4,1,1,4,2,3,4,2,5,5,4,5,4,4,4,1,사람을 거치지 않고 기계가 대체할 일이 많을 것 같아서,3,2,4,0,2,2,1,1,2,2,2,2,4,4,4,4,3,없다,없다,없다,없다,없다,4,2,29,4,극작,1,3,2,2400,0,1920,411104
23,3,4,3,3,3,3,2,2,2,2,4,5,3,4,3,3,3,3,3,5,3,3,3,3,3,3,2,3,3,3,4,4,5,5,3,4,2,1,2,2,2,3,2,2,2,2,2,2,2,3,2,1,1,0,5,5,4,5,4,5,4,6,4,4,4,4,2,3,2,2,2,2,2,2,2,2,1,0,2,2,1,0,19,1,1,1,미용사,0,0,2,0,0,3,2,4,3,3,4,5,4,4,0,0,0,5,4,4,2,3,3,3,3,4,3,4,4,4,3,4,4,소득수준이 높아지면서 의술에 관심이 많음,2,3,1,10,2,2,1,1,2,2,2,2,4,4,3,4,4,"사장님, 원장님","미용도구, 약품",없다,없다,없다,3,2,48,2,문과,2,5,0,0,6000,0,511201
24,3,4,4,4,4,6,4,6,3,4,2,2,4,5,3,4,2,3,4,5,2,1,4,5,4,6,5,6,5,7,3,4,5,6,5,6,3,4,5,7,4,6,4,5,4,5,5,6,4,5,2,2,1,0,3,4,3,4,2,2,4,5,2,3,3,4,2,4,1,0,4,4,1,0,3,3,2,2,1,0,3,4,8,4,1,1,도선사,해기사,0,2,0,0,6,5,5,4,4,5,5,4,4,0,0,3,4,4,4,3,4,3,4,4,5,3,4,3,1,3,4,3,해상수송물동량이 계속해서 유지증가될것이다,3,3,2,30,2,1,2,2,2,2,1,1,3,3,4,4,3,없다,없다,선장,없다,없다,3,1,63,4,해양공학,2,6,0,0,15000,0,621202
25,5,5,5,6,5,5,2,2,2,2,4,5,4,5,4,5,5,6,5,6,4,5,5,6,5,6,2,4,4,4,2,2,1,0,1,0,3,4,1,0,1,0,1,0,1,0,3,4,4,5,4,4,4,5,3,3,2,3,2,3,4,5,2,3,4,5,4,5,3,4,5,6,3,3,1,0,3,4,2,2,1,0,11,1,3,2,0,0,0,2,0,0,4,5,3,4,3,2,4,2,2,3,2,3,3,3,2,3,3,3,3,2,3,2,2,4,4,4,4,1,시장축소,3,2,2,50,2,2,2,1,1,1,2,2,4,4,4,4,3,없음,컴퓨터,없음,없음,없음,3,2,37,4,경영학,1,1,1,7000,0,4000,31101
26,3,4,4,5,2,3,1,0,1,0,3,4,1,0,1,0,1,0,1,0,1,0,2,3,3,4,2,3,3,4,4,6,5,7,4,6,1,0,1,0,1,0,2,3,1,0,1,0,2,2,1,0,1,0,5,6,4,6,5,6,2,2,5,7,2,2,1,0,2,2,1,0,2,2,2,2,1,0,1,0,1,0,7,4,1,2,0,0,0,1,3,고기 취급하는 방법,3,2,4,3,3,4,3,3,3,3,3,3,3,2,3,4,4,4,3,3,4,5,4,3,4,4,4,3,현상유지될것이다,2,2,2,85,2,2,1,1,1,2,1,1,4,4,4,3,3,없다,"칼,도마",판매직,없다,0,2,2,51,2,인문,2,6,0,0,2200,0,872101
27,1,0,1,0,2,3,2,3,2,2,1,0,2,3,2,1,1,0,3,4,1,0,2,3,2,3,1,0,2,2,4,4,2,3,2,3,2,2,2,3,1,0,2,3,1,0,2,3,1,0,2,3,1,0,3,3,2,3,1,0,1,0,1,0,2,3,3,4,1,0,2,1,1,0,1,0,1,0,1,0,1,0,3,1,2,2,0,0,0,2,0,0,2,1,1,1,1,2,4,2,3,2,3,3,3,1,1,2,2,2,3,3,3,4,3,3,4,2,3,2,배수 경기 하락으로 일거리 감소,2,2,3,10,2,2,1,2,2,1,2,2,3,4,3,2,1,없다,"NC선반, MCT",거절,모름,0,2,2,44,2,공업디자인,1,1,1,2800,0,2000,821201
28,4,4,3,4,4,4,1,0,3,4,4,4,3,4,3,4,3,4,4,4,5,5,4,5,3,4,3,4,3,4,1,0,1,0,1,0,4,4,1,0,1,0,1,0,1,0,3,4,2,3,3,4,3,4,3,4,1,0,1,0,4,4,1,0,3,4,3,4,1,0,1,0,3,4,3,4,3,4,1,0,1,0,14,1,2,2,0,0,0,2,0,0,2,4,3,3,3,4,4,2,3,3,3,3,3,3,3,2,3,3,3,3,3,3,2,2,3,3,3,4,게임 및 방송산업 발달에 따른 동반성장,3,2,6,10,1,1,1,1,1,2,2,2,2,4,3,4,2,없다,"프리미어, 에디우스, 3D맥스, 에팩",0,0,0,3,2,26,3,미디어디자인,1,1,1,2300,0,2000,415503
29,3,3,4,4,4,5,5,5,1,0,3,3,1,0,1,0,3,3,3,2,1,0,4,2,1,0,1,0,1,0,5,6,5,6,5,6,1,0,5,4,3,4,5,6,4,6,1,0,3,1,1,0,1,0,3,4,1,0,1,0,2,2,5,4,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,4,2,1,19,4,1,2,0,0,0,2,0,0,3,1,3,2,2,4,3,4,2,0,0,0,3,2,2,2,4,3,3,3,4,4,4,2,4,2,3,2,농업인구 감소,2,2,3,30,2,2,1,2,2,2,2,2,2,2,4,2,3,없다,"기중기, 해머, 도라이버",농업,없다,없다,4,1,48,2,농업계,2,6,0,0,3500,0,811901
30,3,4,3,5,4,5,3,3,4,5,3,4,3,5,4,5,3,4,2,3,2,2,2,4,3,3,3,4,3,5,3,4,2,3,3,4,3,4,2,4,4,5,3,4,2,2,3,5,3,4,2,2,2,3,3,4,2,3,3,4,3,4,3,4,4,5,3,5,3,2,3,5,2,3,2,3,3,5,2,3,3,4,6,1,2,1,건축전기설비기술자,0,0,2,0,0,5,5,4,4,4,4,4,2,3,3,4,4,4,3,3,2,4,3,4,4,4,3,3,4,2,3,3,3,건축경기가 없어서,2,3,6,20,2,2,2,2,2,2,2,2,4,3,4,2,1,없다,"mos, cad ,테스터기",없다,없다,없다,2,1,36,4,건축학,1,1,1,3900,0,2800,140204
31,2,3,2,3,2,3,1,0,1,0,1,0,1,0,1,0,1,0,3,4,3,4,3,4,2,2,2,3,3,4,3,4,2,3,1,0,1,0,1,0,1,0,1,0,1,0,2,2,1,0,2,4,1,0,3,4,3,4,3,4,1,0,1,0,1,0,1,0,3,4,1,0,3,4,2,3,2,2,1,0,1,0,19,1,2,1,보육교사,0,0,1,1,유아 대하는 방법과 소통법,1,4,4,3,2,3,4,4,3,0,4,4,3,4,4,3,3,3,3,3,4,4,2,3,3,2,3,5,다른것으로 대체 불가하다,3,4,3,0,2,2,2,2,2,2,2,2,4,3,4,3,3,없다,"그림책, 장난감, 악기, 그림도구, 앞치마",없다,없다,없다,2,2,47,2,인문,1,1,1,2200,0,1800,232101
32,2,3,2,3,2,3,2,4,2,3,2,3,3,4,2,3,2,3,3,4,2,4,3,5,3,5,2,4,3,5,5,6,4,5,4,5,2,3,2,3,2,4,4,5,3,4,2,4,1,0,2,4,2,4,3,4,2,3,1,0,2,3,2,3,2,3,2,4,1,0,2,3,2,4,1,0,2,4,1,0,2,3,3,1,3,2,0,0,0,2,0,0,4,2,2,1,1,2,3,3,2,2,3,4,3,2,2,3,4,3,2,3,2,2,1,2,4,3,2,3,꾸준히 필요로 하기 때문에,2,3,1,20,2,2,1,2,2,2,2,2,3,4,3,4,2,없다,"절단기,절곡기",택배기사,없다,없다,2,1,39,2,상업,1,1,1,2900,0,1600,822301
