idx,sq1,sq2,sq3,sq4,sq5,sq6,sq7,sq8,sq9,sq10,sq11,sq12,sq13,sq14,sq15,sq16,kq1_1,kq1_2,kq2_1,kq2_2,kq3_1,kq3_2,kq4_1,kq4_2,kq5_1,kq5_2,kq6_1,kq6_2,kq7_1,kq7_2,kq8_1,kq8_2,kq9_1,kq9_2,kq10_1,kq10_2,kq11_1,kq11_2,kq12_1,kq12_2,kq13_1,kq13_2,kq14_1,kq14_2,kq15_1,kq15_2,kq16_1,kq16_2,kq17_1,kq17_2,kq18_1,kq18_2,kq19_1,kq19_2,kq20_1,kq20_2,kq21_1,kq21_2,kq22_1,kq22_2,kq23_1,kq23_2,kq24_1,kq24_2,kq25_1,kq25_2,kq26_1,kq26_2,kq27_1,kq27_2,kq28_1,kq28_2,kq29_1,kq29_2,kq30_1,kq30_2,kq31_1,kq31_2,kq32_1,kq32_2,kq33_1,kq33_2,bq1,bq2,bq3,bq4,bq4_1a,bq4_1b,bq4_1c,bq5,bq5_1,bq5_2,bq6,bq7,bq8_1,bq8_2,bq8_3,bq9,bq10,bq11,bq12_1,bq12_2,bq12_3,bq12_4,bq12_5,bq13_1,bq13_2,bq13_3,bq14_1,bq14_2,bq14_3,bq14_4,bq14_5,bq15,bq16_1,bq16_2,bq16_3,bq16_4,bq16_5,bq17,bq18_1,bq18_2,bq18_3,bq18_4,bq18_5,bq18_6,bq18_7,bq18_8,bq18_9,bq18_10,bq19,bq20,bq20_1,bq21_1,bq21_2,bq21_3,bq22,bq23,bq24,bq25,bq26,bq27,bq27_1,bq28,bq28_1,bq28_2,bq29,bq30,bq31_1,bq31_2,bq31_3,knowcode
18579,3,3,3,2,2,2,2,2,2,2,3,4,4,2,2,2,2,2,1,0,1,0,1,0,2,2,1,0,2,2,3,3,1,0,1,0,1,0,1,0,3,2,1,0,3,3,2,2,3,3,2,2,1,0,2,2,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,4,1,2, , , ,2, , ,1,1,3,1,1,4,3,4,1,9,9,9,1,1.0,4,4.0,4.0,3.0,3.0,4,3.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0, ,1.0,2,희망이 없고 수입이 적어서,4,3.0,3, , , ,1,69.0,1, ,2, ,6, ,60, , ,1000,901101
18580,4,5,5,3,4,4,4,3,3,3,5,5,5,5,3,3,1,0,1,0,1,0,1,0,1,0,1,0,3,4,1,0,1,0,2,3,1,0,1,0,4,5,3,4,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,2,2,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,1,2,2, , , ,1,3,안전교육,1,2,2,1,1,1,1,3,2,2,3,3,3,5.0,1,1.0,5.0,5.0,5.0,4,2.0,2.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,일이 힘든 직업이라서 스트레스 받는다,2.0,1,하향산업,2,2.0,2,주부, , ,2,54.0,2,여상,1,1, ,1,44,2400,2000, ,835201
18581,5,5,5,5,5,4,3,5,5,4,4,5,4,4,5,5,4,5,4,6,4,5,4,5,4,4,4,5,4,4,2,3,5,6,3,5,5,7,5,6,5,6,5,6,4,4,3,4,3,3,4,6,4,4,5,6,4,3,3,3,5,7,3,4,4,3,5,5,4,4,2,3,3,3,5,4,5,6,4,5,3,3,6,1,6,2, , , ,1,6,프로그램 사용 교육,4,5,4,2,1,3,4,3,3,3,4,4,4,3.0,3,3.0,4.0,4.0,3.0,1,2.0,3.0,5.0,4.0,3.0,2.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,3D 프린터 도입,2.0,2,기피현상,2,3.0,2,모델제작,목공 가구 제작, ,1,41.0,3,건축,1,1, ,1,50, ,2800, ,159103
18582,4,3,4,4,3,4,3,4,3,4,3,3,4,3,4,3,1,0,1,0,1,0,2,2,3,3,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,4,4,5,1,0,1,0,1,0,1,0,1,0,2,2,1,0,1,0,2,3,1,0,18,2,3,1,스포츠생활지도사, , ,2, , ,6,4,4,4,4,2,3,4,4,4,3,4,4,1.0,3,3.0,4.0,5.0,4.0,5,4.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0, ,1.0,4,생활체육이 증대되어서,1,1.0,1, , , ,1,29.0,3,예체능교육학과,1,1, ,1,42,2300,1950, ,420401
18583,4,4,5,3,2,2,4,5,4,4,5,5,5,4,3,3,1,0,1,0,1,0,1,0,3,3,1,0,1,0,1,0,1,0,1,0,2,2,1,0,3,3,1,0,2,2,2,2,1,0,2,3,1,0,1,0,1,0,2,2,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,19,1,1,2, , , ,2, , ,2,1,2,1,1,3,2,2,3,9,9,9,3,4.0,3,3.0,2.0,2.0,2.0,2,2.0,3.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0, ,1.0,1,소비자들의 수선에 대한 수요 감소,2,2.0,2, , , ,1,58.0,2,문,2, ,6, ,60, , ,2400,561401
18584,3,3,4,2,3,3,3,3,2,2,3,4,4,3,2,2,2,2,1,0,1,0,2,2,3,3,1,0,1,0,3,3,1,0,1,0,1,0,1,0,2,2,1,0,3,3,1,0,2,2,2,2,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,2,2,1,0,1,0,1,4,1,2, , , ,2, , ,1,1,2,1,1,4,4,4,2,9,9,9,2,1.0,4,3.0,4.0,4.0,4.0,3,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0, ,1.0,2,힘들고 수입이 적어서,4,1.0,2, , , ,2,69.0,1, ,2, ,6, ,21, , ,1500,901101
18585,5,4,5,1,4,4,4,4,3,3,4,5,3,3,1,4,1,0,4,6,2,4,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,2,1,4,5,5,4,4,4,4,4,1,0,1,0,4,5,1,0,1,0,3,6,5,6,1,0,1,0,1,0,1,0,1,0,1,0,3,4,3,4,1,0,10,6,5,2, , , ,1,2,CG제작,1,4,4,4,4,2,5,3,3,3,3,3,3,3.0,2,3.0,3.0,2.0,5.0,5,5.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,장비도입,1.0,2,실시간으로 날씨 볼 수 있는 매체 증가,1,1.0,1, ,강사, ,2,31.0,4,소프트시스템과,1,2, ,2,40,4000,2000, ,416303
18586,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,4,1,0,1,0,1,0,1,0,5,4,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,3,1,0,1,0,1,0,1,0,1,0,5,4,1,0,1,0,1,0,1,0,9,1,3,2, , , ,1,1,"안전교육, 서비스교육 등",1,2,3,3,3,4,4,4,4,4,4,5,5,4.0,3,4.0,5.0,5.0,5.0,3,4.0,2.0,4.0,3.0,3.0,3.0,3.0,5.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,항상 새로운 버거가 나올때마다 절차나 안전교육을 받고 그거에 맞게 일에 대해 서로 나눠서 분담을 하며 일을 한다,2.0,3,패스트푸드점이라 그런지 항상 인기가 많았고 그렇기 때문에 일자리가 감소하진 않을 것 같다,3,3.0,3,아르바이트(PC방),프랜차이즈 가게라면 전부 다, ,2,25.0,3,관광경영,1,3, ,2,40,1920,1800, ,532101
18587,4,3,3,2,5,4,5,1,2,4,3,5,1,2,4,2,1,0,1,0,1,0,2,3,3,3,1,0,2,2,1,0,1,0,1,0,5,5,1,0,1,0,2,2,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,3,2,3,2,2,1,0,1,0,1,0,3,4,3,4,2,3,2,3,1,0,3,1,4,2, , , ,2, , ,4,5,4,4,3,4,5,1,1,2,2,4,3,1.0,4,4.0,4.0,4.0,4.0,2,3.0,3.0,1.0,3.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,새로운 프로그램 매뉴얼 숙지,1.0,3,기계가 대체할 수 없는 업무,1,1.0,1, , , ,2,32.0,4,의상디자인과,1,1, ,1,40,4100,3200, ,415201
18588,4,3,3,3,3,2,5,4,4,4,4,4,4,4,3,4,4,5,3,5,3,5,4,5,3,3,3,4,1,0,1,0,3,4,1,0,1,0,1,0,1,0,3,4,1,0,1,0,1,0,3,5,1,0,1,0,1,0,2,2,1,0,2,4,3,5,1,0,1,0,1,0,3,5,3,4,4,5,4,4,5,5,8,1,2,2, , , ,2, , ,6,5,4,4,4,4,4,3,4,9,9,4,4,3.0,4,4.0,3.0,4.0,3.0,4,3.0,3.0,4.0,3.0,3.0,1.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0, ,2.0,1,운송 물류 자동화,4,4.0,3,운송사무원, , ,1,45.0,4, ,2, ,5, ,46.0, , ,6000,15201
18589,5,5,5,4,5,4,5,4,3,4,5,5,5,3,3,5,4,5,5,6,4,5,4,5,4,6,4,4,1,0,1,0,3,5,1,0,1,0,1,0,1,0,4,5,1,0,1,0,1,0,1,0,1,0,1,0,1,0,4,5,3,4,3,4,4,4,1,0,1,0,1,0,3,4,1,0,4,4,3,5,1,0,11,1,4,2, , , ,2, , ,6,5,4,4,4,5,4,4,3,4,4,5,4,2.0,3,3.0,6.0,5.0,5.0,5,2.0,1.0,2.0,2.0,2.0,2.0,1.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0, ,2.0,2,세계 경제가 갈수록 힘들어 지고 있어서,1,2.0,5,증권사무원,금융관련쪽 관리자는 모두 가능함, ,1,54.0,4,영어 영문학,1,1, ,1,45.0,9500,7200, ,12401
18590,2,3,2,1,2,2,2,2,2,2,3,3,3,2,2,2,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,5,4,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,6,1,2,1,굴삭기 면허증, , ,2, , ,7,2,3,2,1,3,3,2,2,3,3,3,3,2.0,3,3.0,2.0,2.0,3.0,2,1.0,3.0,1.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0, ,1.0,2,공사량이 줄어서(건설경기 침체),3,3.0,3, , , ,1,53.0,2,인문계과,1,1, ,1,50,3960,3600, ,704001
18591,4,4,5,5,5,4,4,4,4,4,5,4,5,3,4,4,4,3,4,5,3,3,3,5,4,5,2,2,4,5,1,0,2,3,5,6,4,4,1,0,5,6,3,6,3,4,2,2,1,0,3,4,1,0,2,1,1,0,1,0,3,3,4,5,4,3,1,0,2,2,1,0,3,3,2,3,1,0,2,3,4,4,3,1,4,2, , , ,1,3,"CATIA 교육, 신뢰성 시험 교육 R&D 교육",5,5,4,3,3,4,5,1,5,3,3,5,3,3.0,2,3.0,3.0,3.0,3.0,1,2.0,3.0,3.0,2.0,3.0,3.0,3.0,4.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,"전산화 시스템 구축, 해석(CAE) SW 추가 구축:구조해석, 성형해석, 신뢰성 시험장비 구축, 새로운 자동차 부품 메커니즘 개발",2.0,2,자동차 판매부진 및 새로운 미래 융복합 트랜드 개발 필요,1,3.0,2, , , ,1,31.0,5,메카트로닉스,1,1, ,1,55,4400,3700, ,151107
18592,4,3,4,3,4,4,3,3,3,3,3,3,3,3,3,3,2,2,1,0,1,0,1,0,1,0,1,0,1,0,1,0,4,5,4,5,1,0,1,0,5,6,3,4,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,5,7,4,5,5,6,2,2,5,6,8,2,5,1,전기철도자격증, , ,1,5,기계조작,7,4,4,4,4,4,4,4,5,5,4,4,4,3.0,3,4.0,5.0,4.0,4.0,5,5.0,4.0,4.0,4.0,4.0,3.0,4.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,빅데이터분석,3.0,4,연봉이 높다,4,4.0,4, , , ,1,38.0,4,기계자동차학과,1,1, ,1,40,4300,2500, ,812301
18593,4,3,5,3,3,4,4,4,3,4,5,5,5,3,3,5,3,4,3,3,2,3,4,5,4,5,4,4,3,5,1,0,5,5,4,5,3,4,1,0,2,3,3,4,2,3,2,3,1,0,4,5,1,0,1,0,1,0,1,0,3,4,2,4,3,4,1,0,1,0,1,0,3,4,2,3,4,5,3,4,3,3,19,4,1,2, , , ,1,5,컴퓨터 문제확인 및 해결,3,2,4,4,3,4,4,4,4,4,4,4,4,2.0,3,3.0,4.0,4.0,4.0,4,4.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,매년 신제품들이 나오기 때문에 그에 맞는 대응과 단점을 체크하여야하고 새로운 테스트 장비도 확인하여야 한다,1.0,3,기업회사는 업무에서는 PC가 꼭필요하기 때문에 향후 10년동안은 일자리 변화는 없을것이다,3,3.0,4,학생(없다),없다,없다,1,22.0,2,특성화고 설비,1,3, ,1,50,2000,2000, ,841101
18594,4,5,5,4,5,5,4,5,5,5,5,4,5,4,4,4,2,2,2,2,2,2,5,7,5,7,1,0,1,0,1,0,1,0,1,0,1,0,1,0,2,2,2,2,1,0,1,0,1,0,3,4,1,0,1,0,2,2,4,6,4,5,1,0,2,3,1,0,1,0,1,0,5,7,1,0,1,0,4,6,1,0,9,1,1,2, , , ,2, , ,7,2,3,1,1,2,3,3,3,3,3,4,3,2.0,2,2.0,5.0,5.0,5.0,5,5.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0, ,2.0,3,패스트문화는 계속 이어질것이기 때문,3,3.0,3,학생, , ,2,29.0,2,상업,1,3, ,2,30, , , ,532101
18595,5,5,5,5,5,5,5,4,4,5,4,4,4,5,1,2,1,0,2,2,1,0,5,2,4,2,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,4,3,3,2,1,0,1,0,1,0,1,0,3,3,3,2,1,0,1,0,1,0,1,0,1,0,2,3,2,1,1,0,13,4,1,2, , , ,2, , ,3,2,4,4,4,4,4,2,3,9,9,9,3,1.0,5,4.0,2.0,2.0,5.0,2,2.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,종이 설문지에서 스마트폰이나 탭으로 조사 형태가 바뀌는것,3.0,3,큰 기업에서는 마케팅을 중요하게 생각하기 때문에,2,2.0,2,전업주주, , ,2,56.0,2,여상,2, ,6, ,63.0, , ,3500,29303
18596,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,4,4,4,4,4,4,3,3,4,4,4,3,1,0,1,0,4,3,1,0,1,0,1,0,4,4,2,3,1,0,1,0,1,0,3,3,4,4,1,0,1,0,3,3,4,3,3,2,1,0,1,0,1,0,1,0,4,4,2,2,3,3,3,3,4,3,8,1,2,2, , , ,2, , ,7,1,4,2,2,2,4,3,3,4,4,4,4,1.0,4,4.0,5.0,5.0,5.0,5,5.0,2.0,4.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0, ,1.0,2,기술발달로 인하여,3,3.0,3, , , ,1,56.0,1, ,1,1, ,1,52.0,4000,1780, ,28201
18597,2,4,4,3,4,4,4,5,4,4,4,5,4,3,2,2,1,0,1,0,1,0,3,4,4,5,1,0,3,3,1,0,1,0,1,0,1,0,1,0,2,2,2,3,1,0,1,0,1,0,2,3,3,3,1,0,1,0,1,0,1,0,1,0,2,3,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,9,1,2,2, , , ,1,1,꼼꼼함과 고객응대법,1,2,3,3,3,4,2,3,3,3,3,4,3,3.0,2,2.0,2.0,2.0,3.0,2,2.0,3.0,1.0,2.0,1.0,1.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0, ,3.0,2,자동주문 시스템이 정착이 되면 일자리 감소예정 됨,4,5.0,4, ,주방장 및 주방보조, ,1,27.0,2,인문계,1,3, ,2,35,1800,1800, ,532101
18598,4,3,4,4,4,4,5,4,5,5,5,5,4,4,3,3,3,4,3,4,3,4,3,4,4,5,2,2,2,2,1,0,3,4,4,4,2,2,2,2,3,4,1,0,2,3,2,3,1,0,3,4,3,4,2,3,2,3,3,4,4,5,2,2,2,2,1,0,2,2,2,2,3,4,3,3,3,4,4,5,3,4,8,2,5,2, , , ,2, , ,5,5,3,3,4,4,4,3,2,4,3,3,4,3.0,4,4.0,2.0,3.0,3.0,2,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0, ,2.0,3,최소인원으로 정예화하고 남는 인건비를업무 역량강화에 투여해서,3,4.0,3, , , ,2,39.0,4,산업공학과,1,1, ,1,40.0,3800,2700, ,28202
18599,5,4,3,2,4,3,2,2,4,3,3,3,2,2,1,2,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,2,2,1,0,3,3,3,3,1,0,1,0,2,2,2,2,1,0,1,0,1,0,1,0,10,1,4,2, , , ,2, , ,7,5,3,3,3,3,3,2,3,3,3,3,3,3.0,3,3.0,3.0,3.0,4.0,3,3.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0, ,1.0,3, ,3,2.0,3, , , ,1,33.0,4,신문방송학,1,1, ,1,38,2800,2200, ,416302
